Ticker Symbol,Years,Period Ending, Total Revenue , Cost of Goods Sold ," Sales, General and Admin. ", Research and Development , Other Operating Items ,GICS Sector,GICS Sub Industry,
AAL,Year 1,12/31/2012,"$ 24,855,000,000","$ 10,499,000,000","$ 12,977,000,000", $-   ,"$ 845,000,000",Industrials,Airlines,
AAL,Year 2,12/31/2013,"$ 26,743,000,000","$ 11,019,000,000","$ 12,913,000,000", $-   ,"$ 853,000,000",Industrials,Airlines,
AAL,Year 3,12/31/2014,"$ 42,650,000,000","$ 15,620,000,000","$ 20,686,000,000", $-   ,"$ 1,295,000,000",Industrials,Airlines,
AAL,Year 4,12/31/2015,"$ 40,990,000,000","$ 11,096,000,000","$ 21,275,000,000", $-   ,"$ 1,364,000,000",Industrials,Airlines,
AAP,Year 1,12/29/2012,"$ 6,205,003,000","$ 3,106,967,000","$ 2,440,721,000", $-   , $-   ,Consumer Discretionary,Automotive Retail,
AAP,Year 2,12/28/2013,"$ 6,493,814,000","$ 3,241,668,000","$ 2,591,828,000", $-   , $-   ,Consumer Discretionary,Automotive Retail,
AAP,Year 3,01/03/2015,"$ 9,843,861,000","$ 5,390,248,000","$ 3,601,903,000", $-   , $-   ,Consumer Discretionary,Automotive Retail,
AAP,Year 4,01/02/2016,"$ 9,737,018,000","$ 5,314,246,000","$ 3,596,992,000", $-   , $-   ,Consumer Discretionary,Automotive Retail,
ADBE,Year 1,11/29/2013,"$ 4,055,240,000","$ 586,557,000","$ 2,140,578,000","$ 826,631,000","$ 52,254,000",Information Technology,Application Software,
ADBE,Year 2,11/28/2014,"$ 4,147,065,000","$ 622,080,000","$ 2,195,640,000","$ 844,353,000","$ 52,424,000",Information Technology,Application Software,
ADBE,Year 3,11/27/2015,"$ 4,795,511,000","$ 744,317,000","$ 2,215,161,000","$ 862,730,000","$ 68,649,000",Information Technology,Application Software,
ADBE,Year 4,12/02/2016,"$ 5,854,430,000","$ 819,908,000","$ 2,487,907,000","$ 975,987,000","$ 78,534,000",Information Technology,Application Software,
ABBV,Year 1,12/31/2012,"$ 18,380,000,000","$ 4,508,000,000","$ 4,989,000,000","$ 2,778,000,000", $-   ,Health Care,Pharmaceuticals,
ABBV,Year 2,12/31/2013,"$ 18,790,000,000","$ 4,581,000,000","$ 5,352,000,000","$ 2,855,000,000", $-   ,Health Care,Pharmaceuticals,
ABBV,Year 3,12/31/2014,"$ 19,960,000,000","$ 4,426,000,000","$ 8,474,000,000","$ 3,297,000,000", $-   ,Health Care,Pharmaceuticals,
ABBV,Year 4,12/31/2015,"$ 22,859,000,000","$ 4,500,000,000","$ 6,387,000,000","$ 4,285,000,000", $-   ,Health Care,Pharmaceuticals,
ABC,Year 1,9/30/2013,"$ 87,959,167,000","$ 85,451,348,000","$ 1,447,234,000", $-   ,"$ 162,186,000",Health Care,Health Care Distributors,
ABC,Year 2,9/30/2014,"$ 119,569,127,000","$ 116,586,761,000","$ 2,011,595,000", $-   ,"$ 188,680,000",Health Care,Health Care Distributors,
ABC,Year 3,9/30/2015,"$ 135,961,803,000","$ 132,432,490,000","$ 2,858,458,000", $-   ,"$ 248,635,000",Health Care,Health Care Distributors,
ABC,Year 4,9/30/2016,"$ 146,849,686,000","$ 142,577,080,000","$ 2,382,097,000", $-   ,"$ 364,735,000",Health Care,Health Care Distributors,
ABT,Year 1,12/31/2012,"$ 19,050,000,000","$ 8,899,000,000","$ 6,735,000,000","$ 1,461,000,000","$ 595,000,000",Health Care,Health Care Equipment,
ABT,Year 2,12/31/2013,"$ 19,657,000,000","$ 9,193,000,000","$ 6,372,000,000","$ 1,371,000,000","$ 588,000,000",Health Care,Health Care Equipment,
ABT,Year 3,12/31/2014,"$ 20,247,000,000","$ 9,218,000,000","$ 6,530,000,000","$ 1,345,000,000","$ 555,000,000",Health Care,Health Care Equipment,
ABT,Year 4,12/31/2015,"$ 20,405,000,000","$ 8,747,000,000","$ 6,785,000,000","$ 1,405,000,000","$ 601,000,000",Health Care,Health Care Equipment,
ADSK,Year 1,1/31/2013,"$ 2,312,200,000","$ 238,500,000","$ 1,081,800,000","$ 600,000,000","$ 42,100,000",Information Technology,Application Software,
ADSK,Year 2,1/31/2014,"$ 2,273,900,000","$ 274,300,000","$ 1,054,400,000","$ 611,100,000","$ 36,500,000",Information Technology,Application Software,
ADSK,Year 3,1/31/2015,"$ 2,512,200,000","$ 342,100,000","$ 1,281,300,000","$ 725,200,000","$ 39,800,000",Information Technology,Application Software,
ADSK,Year 4,1/31/2016,"$ 2,504,100,000","$ 370,700,000","$ 1,308,900,000","$ 790,000,000","$ 33,200,000",Information Technology,Application Software,
SYMC,Year 1,3/29/2013,"$ 6,906,000,000","$ 1,175,000,000","$ 3,236,000,000","$ 1,026,000,000","$ 286,000,000",Information Technology,Application Software,
SYMC,Year 2,3/28/2014,"$ 4,183,000,000","$ 791,000,000","$ 2,186,000,000","$ 722,000,000","$ 93,000,000",Information Technology,Application Software,
